size,mongo_insert_avg,mongo_read_avg,mongo_update_avg,mongo_delete_avg,mongo_complex_query_1_avg,mongo_complex_query_2_avg,pg_insert_avg,pg_read_avg,pg_update_avg,pg_delete_avg,pg_complex_query_1_avg,pg_complex_query_2_avg
10,0.2806369709996943,0.6290451409995512,1.1135681349996958,0.049555061000319256,0.0,0.0,0.09238111700051377,0.09128108700042503,0.0022950550001041847,0.3543682700001227,0.06851250300042011,0.10556998699939868
50,0.03606182700059435,0.0009633959998609498,0.762744917999953,0.060338715000398224,0.0,0.0,0.0551560009998866,0.08219070199993439,0.0011976969999523135,1.6701021299995773,0.06944493300034082,0.10969432399997459
100,0.03950229800011584,0.0012134560001868522,1.9245797809999203,0.06331208299980062,0.0,0.0,0.15054275900001812,0.07773579400054587,0.001528044999759004,3.3685297060001176,0.08076630999948975,0.12711738500001957
150,0.03766410400021414,0.0023235750004459987,2.693380531999537,0.06593341400002828,0.0,0.0,0.2786621349996494,0.07499588100017718,3.5494637860001603,3.908627112999966,0.20530706099907547,0.10559457500039571
